Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Staten Island,Concord,40.60447318968794,-74.08402364740365,2,Deli / Bodega,Supermarket,Bus Stop,Bagel Shop,Gym / Fitness Center,Park,Coffee Shop,Athletics & Sports,Sandwich Place,Peruvian Restaurant
Staten Island,Randall Manor,40.635630006811546,-74.09805062373894,2,Park,Pizza Place,Bus Stop,Bagel Shop,Deli / Bodega,Playground,Film Studio,Eye Doctor,Factory,Falafel Restaurant
Staten Island,Howland Hook,40.638432837947995,-74.18622331749829,7,Pier,Event Service,Event Space,Exhibit,Eye Doctor,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Staten Island,Elm Park,40.63014674119387,-74.14181678968897,2,Bus Stop,Gas Station,Pizza Place,Ice Cream Shop,American Restaurant,Italian Restaurant,Deli / Bodega,Food Service,Film Studio,Eye Doctor
Brooklyn,Remsen Village,40.65211745179353,-73.91665331978055,9,Caribbean Restaurant,Fast Food Restaurant,Breakfast Spot,Donut Shop,Fish Market,Café,Gym,Fried Chicken Joint,Pharmacy,Coffee Shop
Brooklyn,New Lots,40.66274427969663,-73.885117763793,0,Pizza Place,Grocery Store,Chinese Restaurant,Deli / Bodega,Spanish Restaurant,Latin American Restaurant,Athletics & Sports,Asian Restaurant,Park,Pharmacy
Brooklyn,Paerdegat Basin,40.63131755039671,-73.90233474295844,3,Gym,Asian Restaurant,Food,Chinese Restaurant,Yoga Studio,Film Studio,Eye Doctor,Factory,Falafel Restaurant,Farm
Brooklyn,Mill Basin,40.615974239623405,-73.91515391550409,0,Pizza Place,Japanese Restaurant,Chinese Restaurant,Sushi Restaurant,Bagel Shop,Cosmetics Shop,Bank,Pharmacy,Burger Joint,Italian Restaurant
Queens,Jamaica Hills,40.711459643704856,-73.796464620816,3,Pharmacy,Chinese Restaurant,Fast Food Restaurant,Indian Restaurant,Fried Chicken Joint,Donut Shop,Caribbean Restaurant,Sandwich Place,Seafood Restaurant,Southern / Soul Food Restaurant
Queens,Utopia,40.7335002542976,-73.79671678028356,0,Deli / Bodega,Chinese Restaurant,Spa,Playground,Automotive Shop,History Museum,South American Restaurant,Donut Shop,Korean Restaurant,Bakery
Queens,Pomonok,40.73493618075482,-73.80486120040544,9,Halal Restaurant,Bowling Alley,Scenic Lookout,Bus Station,Pizza Place,American Restaurant,Park,Japanese Restaurant,Bar,Supermarket
Queens,Astoria Heights,40.770317392998244,-73.89467996270581,9,Music Venue,Hostel,Supermarket,Bowling Alley,Burger Joint,Bus Station,Food,Pizza Place,Playground,Plaza
Bronx,Claremont Village,40.83142834161551,-73.90119903387674,3,Bakery,Deli / Bodega,Chinese Restaurant,Supermarket,Flower Shop,Caribbean Restaurant,Gym,Grocery Store,Park,Liquor Store
Bronx,Concourse Village,40.82478049084294,-73.91584652759016,0,Deli / Bodega,Mexican Restaurant,Pizza Place,Pharmacy,Sandwich Place,Supermarket,Sporting Goods Shop,Fast Food Restaurant,Diner,Shopping Mall
Bronx,Mount Eden,40.84382617671658,-73.91655551964428,0,Spanish Restaurant,Pharmacy,Supermarket,Fast Food Restaurant,Gym,Gym / Fitness Center,Health & Beauty Service,Sandwich Place,Seafood Restaurant,Bank
Bronx,Mount Hope,40.84884160724669,-73.90829930881995,0,Asian Restaurant,Spanish Restaurant,Supermarket,Sandwich Place,Deli / Bodega,Convenience Store,Grocery Store,Ice Cream Shop,Donut Shop,Video Game Store
Queens,Hunters Point,40.74341409007358,-73.95386782130754,9,Italian Restaurant,Café,Brewery,Japanese Restaurant,Greek Restaurant,Gym / Fitness Center,Burger Joint,Bar,Coffee Shop,Comedy Club
Manhattan,Turtle Bay,40.75204236950726,-73.96770824581843,9,Italian Restaurant,Sushi Restaurant,Coffee Shop,Hotel,Wine Bar,French Restaurant,Japanese Restaurant,Café,Noodle House,Park
Manhattan,Tudor City,40.74691741074023,-73.97121928722272,9,Park,Mexican Restaurant,Café,Greek Restaurant,Pizza Place,Hotel,Deli / Bodega,Diner,Dog Run,Asian Restaurant
Manhattan,Stuyvesant Town,40.73099955477065,-73.9740517046921,9,Bar,Playground,Park,Pet Service,Boat or Ferry,Basketball Court,German Restaurant,Coffee Shop,Heliport,Cocktail Bar
Manhattan,Flatiron,40.73967304763847,-73.99094710528267,9,Italian Restaurant,Yoga Studio,Gym,Gym / Fitness Center,American Restaurant,Cycle Studio,Dessert Shop,Cosmetics Shop,Clothing Store,Salon / Barbershop
Queens,Sunnyside Gardens,40.7456518060808,-73.91819286431691,9,Bar,Grocery Store,American Restaurant,Pizza Place,Pharmacy,Coffee Shop,Mexican Restaurant,Food Truck,Filipino Restaurant,Korean Restaurant
Queens,Blissville,40.737250716945006,-73.93244235260184,9,Hotel,Deli / Bodega,Donut Shop,Clothing Store,Skating Rink,Mattress Store,Bar,Thai Restaurant,Movie Theater,Hostel
Brooklyn,Fulton Ferry,40.70328109093018,-73.99550751888422,9,Park,American Restaurant,Scenic Lookout,Bridge,Café,Coffee Shop,Seafood Restaurant,Ice Cream Shop,Hotel Bar,Pizza Place
Brooklyn,Vinegar Hill,40.703321498828785,-73.98111603592399,9,Food Truck,Art Gallery,Bookstore,Wine Shop,Coffee Shop,Café,Bakery,Laser Tag,Latin American Restaurant,Men's Store
Brooklyn,Weeksville,40.6750398650324,-73.93053108817347,9,Discount Store,Café,History Museum,Liquor Store,Lounge,Donut Shop,Park,Cocktail Bar,Chinese Restaurant,American Restaurant
Brooklyn,Broadway Junction,40.67786104769535,-73.90331684852606,0,Donut Shop,Diner,Fried Chicken Joint,Ice Cream Shop,Caribbean Restaurant,Pizza Place,Moving Target,Burger Joint,Sandwich Place,Deli / Bodega
Brooklyn,Dumbo,40.70317632822696,-73.98875280745047,9,Coffee Shop,Park,Scenic Lookout,Pizza Place,Wine Shop,Italian Restaurant,Bookstore,American Restaurant,Bakery,Café
Staten Island,Manor Heights,40.60180957631448,-74.12059399718008,0,Deli / Bodega,Campground,Home Service,Pharmacy,Sushi Restaurant,Chinese Restaurant,Bagel Shop,American Restaurant,Liquor Store,Donut Shop
Staten Island,Willowbrook,40.60370692627375,-74.13208447484304,2,Bus Stop,Bagel Shop,Deli / Bodega,Chinese Restaurant,Spa,Fish & Chips Shop,Eye Doctor,Factory,Falafel Restaurant,Farm
Staten Island,Sandy Ground,40.5411399220918,-74.21776636068573,2,Art Gallery,Market,Liquor Store,Bus Stop,Home Service,Fish Market,Factory,Falafel Restaurant,Farm,Farmers Market
Staten Island,Egbertville,40.579118742961256,-74.12727240604953,9,Italian Restaurant,Cosmetics Shop,Clothing Store,Bagel Shop,Fountain,Food Truck,Exhibit,Eye Doctor,Factory,Fried Chicken Joint
Queens,Roxbury,40.567375889570364,-73.8921376023283,0,Beach,Irish Pub,Pub,Trail,Pizza Place,Fast Food Restaurant,Hardware Store,Deli / Bodega,Food Court,Food & Drink Shop
Brooklyn,Homecrest,40.59852509513729,-73.9591845942871,0,Grocery Store,Donut Shop,Bank,Sandwich Place,Sushi Restaurant,Mexican Restaurant,Café,Pizza Place,Chinese Restaurant,Bagel Shop
Queens,Middle Village,40.71641451115823,-73.88114319200609,9,Bank,Discount Store,Martial Arts Dojo,Bakery,Electronics Store,Pharmacy,South American Restaurant,Sandwich Place,Pizza Place,Park
Staten Island,Prince's Bay,40.52626406734817,-74.20152556457666,0,Pizza Place,Italian Restaurant,Sushi Restaurant,Food Truck,Bank,Pharmacy,Bagel Shop,Dim Sum Restaurant,Diner,Falafel Restaurant
Staten Island,Lighthouse Hill,40.576506293794935,-74.13792663771576,9,Spa,Art Museum,Italian Restaurant,Moving Target,Café,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Staten Island,Richmond Valley,40.51954145748913,-74.22957080626948,0,Bank,Construction & Landscaping,Smoothie Shop,Fast Food Restaurant,Mexican Restaurant,Train Station,Sandwich Place,Deli / Bodega,Bubble Tea Shop,Falafel Restaurant
Queens,Malba,40.79060155670153,-73.8266775713865,9,Rest Area,Tennis Court,Rock Club,Bus Line,Exhibit,Eye Doctor,Factory,Falafel Restaurant,Farm,Farmers Market
Brooklyn,Highland Park,40.682485511016935,-73.8902809854761,0,Pizza Place,Liquor Store,Gym / Fitness Center,Grocery Store,Tennis Court,Garden,Park,Metro Station,Department Store,Deli / Bodega
Brooklyn,Madison,40.609377701137696,-73.948415153289,0,Bagel Shop,Deli / Bodega,Dessert Shop,Spa,Candy Store,Pilates Studio,Pizza Place,Italian Restaurant,Restaurant,Design Studio
