Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Bronx,Edenwald,40.88456130303736,-73.84808271877175,3,Chinese Restaurant,Grocery Store,Food,Bus Station,Fish Market,Supermarket,Deli / Bodega,Design Studio,Flea Market,Farm
Brooklyn,Bay Ridge,40.625801065010684,-74.0306206935382,9,Italian Restaurant,Pizza Place,Spa,Bagel Shop,Greek Restaurant,Diner,American Restaurant,Bar,Grocery Store,Seafood Restaurant
Brooklyn,Bensonhurst,40.61100890202048,-73.99517998380736,0,Chinese Restaurant,Pizza Place,Bakery,Ice Cream Shop,Sushi Restaurant,Coffee Shop,Bagel Shop,Pharmacy,Dumpling Restaurant,Russian Restaurant
Brooklyn,Sunset Park,40.64510294925433,-74.01031618527792,0,Latin American Restaurant,Pizza Place,Mexican Restaurant,Bank,Bakery,Pharmacy,Mobile Phone Shop,Gym,Breakfast Spot,Donut Shop
Brooklyn,Greenpoint,40.73020098486474,-73.954240931274,9,Bar,Pizza Place,Coffee Shop,Cocktail Bar,Café,Yoga Studio,Bakery,French Restaurant,Mexican Restaurant,Record Shop
Brooklyn,Gravesend,40.59526001306597,-73.97347087708451,0,Bakery,Chinese Restaurant,Italian Restaurant,Lounge,Bus Station,Pizza Place,Donut Shop,Grocery Store,Pharmacy,Bar
Brooklyn,Brighton Beach,40.57682506566609,-73.96509448785343,9,Restaurant,Eastern European Restaurant,Beach,Bank,Russian Restaurant,Sushi Restaurant,Fast Food Restaurant,Pharmacy,Gourmet Shop,Mobile Phone Shop
Brooklyn,Sheepshead Bay,40.58689012678388,-73.94318640482987,9,Dessert Shop,Turkish Restaurant,Sandwich Place,Yoga Studio,Russian Restaurant,Café,Boat or Ferry,Miscellaneous Shop,Chinese Restaurant,Grocery Store
Brooklyn,Manhattan Terrace,40.614432513351026,-73.95743840559945,0,Pizza Place,Coffee Shop,Donut Shop,Steakhouse,Convenience Store,Gourmet Shop,Chinese Restaurant,Shipping Store,Bank,Mobile Phone Shop
Brooklyn,Flatbush,40.63632589026681,-73.95840106533913,0,Coffee Shop,Chinese Restaurant,Mexican Restaurant,Deli / Bodega,Pharmacy,Caribbean Restaurant,Plaza,Middle Eastern Restaurant,Bank,Bagel Shop
Brooklyn,Crown Heights,40.67082917695298,-73.9432911907359,0,Pizza Place,Café,Museum,Supermarket,Bagel Shop,Playground,Salon / Barbershop,Pharmacy,Coffee Shop,Park
Brooklyn,East Flatbush,40.64171776668965,-73.93610256185843,3,Chinese Restaurant,Caribbean Restaurant,Check Cashing Service,Park,Moving Target,Print Shop,Fast Food Restaurant,Food,Pharmacy,Hardware Store
Brooklyn,Kensington,40.64238195800357,-73.98042110559481,9,Grocery Store,Thai Restaurant,Ice Cream Shop,Restaurant,Pizza Place,Sandwich Place,Food Truck,Lingerie Store,Liquor Store,Gym
Brooklyn,Windsor Terrace,40.656945835751074,-73.98007340430179,9,Deli / Bodega,Diner,Park,Plaza,Food Truck,Café,Sushi Restaurant,Bookstore,Moving Target,Arts & Crafts Store
Brooklyn,Prospect Heights,40.676822262254774,-73.96485924262697,9,Bar,Thai Restaurant,Mexican Restaurant,Cocktail Bar,Wine Shop,Gourmet Shop,Bakery,American Restaurant,Southern / Soul Food Restaurant,New American Restaurant
Brooklyn,Brownsville,40.663949943397576,-73.91023536176615,9,Restaurant,Moving Target,Park,Donut Shop,Spanish Restaurant,Chinese Restaurant,Men's Store,Trail,Pizza Place,Playground
Brooklyn,Williamsburg,40.70714439344255,-73.95811529220936,9,Bagel Shop,Bar,Coffee Shop,Burger Joint,Liquor Store,Lounge,Gym,Grocery Store,Middle Eastern Restaurant,Taco Place
Brooklyn,Bushwick,40.69811611017905,-73.92525797487053,9,Bar,Mexican Restaurant,Deli / Bodega,Pizza Place,Thrift / Vintage Store,Coffee Shop,Bakery,Discount Store,New American Restaurant,Shoe Store
Brooklyn,Bedford Stuyvesant,40.6872316077205,-73.94178488690305,9,Coffee Shop,Bar,Pizza Place,Café,Cocktail Bar,Boutique,Basketball Court,Thrift / Vintage Store,New American Restaurant,Bagel Shop
